sorszam,szk_nev,evk,evk_nev,cim,akadaly,szamlKijelolt,atjKijelolt,telepSzintu,indulo,honos,osszesen,maz,taz,version
104,"Budapest III. kerület, 104. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,771,771,771,01,003,01131852
105,"Budapest III. kerület, 105. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,741,741,741,01,003,01131852
106,"Budapest III. kerület, 106. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Bárczi Géza utca 2. (Általános Iskola)",I,N,N,N,847,847,847,01,003,01131852
107,"Budapest III. kerület, 107. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",I,N,N,N,779,779,779,01,003,01131852
108,"Budapest III. kerület, 108. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",N,N,N,N,831,831,831,01,003,01131852
109,"Budapest III. kerület, 109. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",N,N,N,N,787,787,787,01,003,01131852
110,"Budapest III. kerület, 110. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",N,N,N,N,808,808,808,01,003,01131852
111,"Budapest III. kerület, 111. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",I,N,N,N,749,749,749,01,003,01131852
112,"Budapest III. kerület, 112. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1039 Budapest 03, Pais Dezső utca 1-3. (Általános Iskola)",I,N,N,N,804,804,804,01,003,01131852
200,"Budapest III. kerület, 200. számú szavazókör",10,"BUDAPEST főváros, 10. számú OEVK","1033 Budapest 03, Harrer Pál utca 7. (Általános Iskola)",I,N,I,N,0,0,0,01,003,01131852
001,"Budapest IV. kerület, 001. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Homoktövis utca 100. (Homoktövis Általános Isk.)",I,N,N,N,1291,1291,1291,01,004,01131852
002,"Budapest IV. kerület, 002. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK"," Budapest 04, Homoktövis utca 100. (Homoktövis Általános Isk.)",I,N,N,N,1169,1169,1169,01,004,01131852
003,"Budapest IV. kerület, 003. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK"," Budapest 04, Homoktövis utca 100. (Homoktövis Általános Isk.)",I,N,N,N,1158,1158,1158,01,004,01131852
004,"Budapest IV. kerület, 004. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK"," Budapest 04, Homoktövis utca 100. (Homoktövis Általános Isk.)",I,N,N,N,1470,1470,1470,01,004,01131852
005,"Budapest IV. kerület, 005. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK"," Budapest 04, Homoktövis utca 100. (Homoktövis Általános Isk.)",I,N,N,N,1265,1265,1265,01,004,01131852
006,"Budapest IV. kerület, 006. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1043 Budapest 04, Bőrfestő utca 5-9. (Csokonai Gimn. és Ált. Isk.)",I,N,N,N,1253,1253,1253,01,004,01131852
007,"Budapest IV. kerület, 007. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1046 Budapest 04, Bőrfestő utca 5-9. (Csokonai Gimn. és Ált. Isk.)",I,N,N,N,1189,1189,1189,01,004,01131852
008,"Budapest IV. kerület, 008. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK"," Budapest 04, Bőrfestő utca 5-9. (Csokonai Gimn. és Ált. Isk.)",I,N,N,N,954,954,954,01,004,01131852
009,"Budapest IV. kerület, 009. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Tóth Aladár utca 16-18. (Babits Gimnázium)",I,N,N,N,1013,1013,1013,01,004,01131852
010,"Budapest IV. kerület, 010. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Tóth Aladár utca 16-18. (Babits Gimnázium)",I,N,N,N,1135,1135,1135,01,004,01131852
011,"Budapest IV. kerület, 011. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Tóth Aladár utca 16-18. (Babits Gimnázium)",I,N,N,N,953,951,951,01,004,01131852
012,"Budapest IV. kerület, 012. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)",I,N,N,N,1044,1043,1043,01,004,01131852
013,"Budapest IV. kerület, 013. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)",I,N,N,N,989,989,989,01,004,01131852
014,"Budapest IV. kerület, 014. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)",I,N,N,N,967,967,967,01,004,01131852
015,"Budapest IV. kerület, 015. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)",I,N,N,N,947,948,948,01,004,01131852
016,"Budapest IV. kerület, 016. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1044 Budapest 04, Megyeri út 20. (Megyeri Általános Isk.)",I,N,N,N,1031,1031,1031,01,004,01131852
017,"Budapest IV. kerület, 017. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1044 Budapest 04, Megyeri út 20. (Megyeri Általános Isk.)",I,N,N,N,1155,1155,1155,01,004,01131852
018,"Budapest IV. kerület, 018. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1044 Budapest 04, Megyeri út 20. (Megyeri Általános Isk.)",I,N,N,N,1098,1098,1098,01,004,01131852
019,"Budapest IV. kerület, 019. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1044 Budapest 04, Megyeri út 20. (Megyeri Általános Isk.)",I,N,N,N,1042,1041,1041,01,004,01131852
020,"Budapest IV. kerület, 020. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1044 Budapest 04, Megyeri út 20. (Megyeri Általános Isk.)",N,N,N,N,997,995,995,01,004,01131852
021,"Budapest IV. kerület, 021. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1048 Budapest 04, Hajló utca 2-8. (Karinty Ált. Isk. volt ÁMK)",I,N,N,N,1035,1035,1035,01,004,01131852
022,"Budapest IV. kerület, 022. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1047 Budapest 04, Fóti út 66. (Angol Nyelvi Általános Isk.)",N,N,N,N,1064,1064,1064,01,004,01131852
023,"Budapest IV. kerület, 023. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1047 Budapest 04, Fóti út 66. (Angol Nyelvi Általános Isk.)",N,N,N,N,1027,1027,1027,01,004,01131852
024,"Budapest IV. kerület, 024. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1047 Budapest 04, Fóti út 66. (Angol Nyelvi Általános Isk.)",N,N,N,N,1162,1163,1163,01,004,01131852
025,"Budapest IV. kerület, 025. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1047 Budapest 04, Fóti út 66. (Angol Nyelvi Általános Isk.)",N,N,N,N,1009,1009,1009,01,004,01131852
026,"Budapest IV. kerület, 026. számú szavazókör",11,"BUDAPEST főváros, 11. számú OEVK","1047 Budapest 04, Fóti út 66. (Angol Nyelvi Általános Isk.)",N,N,N,N,1100,1100,1100,01,004,01131852
