maz,maz_nev,evk,evk_nev,szekhely,indulo,honos,osszesen,version
06,CSONGRÁD-CSANÁD,01,"CSONGRÁD-CSANÁD, 01. számú OEVK",Szeged,80998,80952,80952,01161935
06,CSONGRÁD-CSANÁD,02,"CSONGRÁD-CSANÁD, 02. számú OEVK",Szeged,86965,86919,86919,01161935
06,CSONGRÁD-CSANÁD,03,"CSONGRÁD-CSANÁD, 03. számú OEVK",Szentes,80560,80529,80529,01161935
06,CSONGRÁD-CSANÁD,04,"CSONGRÁD-CSANÁD, 04. számú OEVK",Hódmezővásárhely,77792,77769,77769,01161935
07,FEJÉR,01,"FEJÉR, 01. számú OEVK",Székesfehérvár,60365,60357,60357,01161935
07,FEJÉR,02,"FEJÉR, 02. számú OEVK",Székesfehérvár,70465,70461,70461,01161935
07,FEJÉR,03,"FEJÉR, 03. számú OEVK",Bicske,76878,76885,76885,01161935
07,FEJÉR,04,"FEJÉR, 04. számú OEVK",Dunaújváros,66420,66392,66392,01161935
07,FEJÉR,05,"FEJÉR, 05. számú OEVK",Sárbogárd,67578,67557,67557,01161935
08,GYŐR-MOSON-SOPRON,01,"GYŐR-MOSON-SOPRON, 01. számú OEVK",Győr,66855,66844,66844,01161935
08,GYŐR-MOSON-SOPRON,02,"GYŐR-MOSON-SOPRON, 02. számú OEVK",Győr,73327,73307,73307,01161935
08,GYŐR-MOSON-SOPRON,03,"GYŐR-MOSON-SOPRON, 03. számú OEVK",Csorna,66911,66906,66906,01161935
08,GYŐR-MOSON-SOPRON,04,"GYŐR-MOSON-SOPRON, 04. számú OEVK",Sopron,75699,75699,75699,01161935
08,GYŐR-MOSON-SOPRON,05,"GYŐR-MOSON-SOPRON, 05. számú OEVK",Mosonmagyaróvár,77327,77316,77316,01161935
09,HAJDÚ-BIHAR,01,"HAJDÚ-BIHAR, 01. számú OEVK",Debrecen,66623,66610,66610,01161935
09,HAJDÚ-BIHAR,02,"HAJDÚ-BIHAR, 02. számú OEVK",Debrecen,72581,72558,72558,01161935
